Season,Date,Game,GameID,Home,HomeID,G,Away,AwayID,GA
2024-25,11/13/2024,PIT vs DET,202411130PIT,Pittsburgh Penguins,PIT,2,Detroit Red Wings,DET,3
2024-25,11/13/2024,WSH vs TOR,202411130WSH,Washington Capitals,WSH,3,Toronto Maple Leafs,TOR,4
2024-25,11/13/2024,ARI vs CAR,202411130UTA,Arizona Coyotes,ARI,4,Carolina Hurricanes,CAR,1
2024-25,11/13/2024,COL vs LAK,202411130COL,Colorado Avalanche,COL,4,Los Angeles Kings,LAK,2
2024-25,11/13/2024,ANA vs VEG,202411130ANA,Anaheim Ducks,ANA,2,Vegas Golden Knights,VEG,3
2024-25,11/12/2024,TOR vs OTT,202411120TOR,Toronto Maple Leafs,TOR,0,Ottawa Senators,OTT,3
2024-25,11/12/2024,FLA vs NJD,202411120FLA,Florida Panthers,FLA,1,New Jersey Devils,NJD,4
2024-25,11/12/2024,NYR vs WPG,202411120NYR,New York Rangers,NYR,3,Winnipeg Jets,WPG,6
2024-25,11/12/2024,STL vs BOS,202411120STL,St. Louis Blues,STL,2,Boston Bruins,BOS,3
2024-25,11/12/2024,EDM vs NYI,202411120EDM,Edmonton Oilers,EDM,4,New York Islanders,NYI,3
2024-25,11/12/2024,VAN vs CGY,202411120VAN,Vancouver Canucks,VAN,3,Calgary Flames,CGY,1
2024-25,11/12/2024,SEA vs CBJ,202411120SEA,Seattle Kraken,SEA,5,Columbus Blue Jackets,CBJ,2
2024-25,11/11/2024,BUF vs MTL,202411110BUF,Buffalo Sabres,BUF,5,Montreal Canadiens,MTL,7
2024-25,11/11/2024,PHI vs SJS,202411110PHI,Philadelphia Flyers,PHI,3,San Jose Sharks,SJS,3
2024-25,11/11/2024,PIT vs DAL,202411110PIT,Pittsburgh Penguins,PIT,1,Dallas Stars,DAL,7
2024-25,11/11/2024,CGY vs LAK,202411110CGY,Calgary Flames,CGY,3,Los Angeles Kings,LAK,1
2024-25,11/11/2024,COL vs NSH,202411110COL,Colorado Avalanche,COL,3,Nashville Predators,NSH,2
2024-25,11/11/2024,VEG vs CAR,202411110VEG,Vegas Golden Knights,VEG,2,Carolina Hurricanes,CAR,5
2024-25,11/10/2024,NJD vs SJS,202411100NJD,New Jersey Devils,NJD,0,San Jose Sharks,SJS,1
2024-25,11/10/2024,CHI vs MIN,202411100CHI,Chicago Blackhawks,CHI,2,Minnesota Wild,MIN,1
2024-25,11/10/2024,ANA vs CBJ,202411100ANA,Anaheim Ducks,ANA,4,Columbus Blue Jackets,CBJ,2
2024-25,11/9/2024,BUF vs CGY,202411090BUF,Buffalo Sabres,BUF,2,Calgary Flames,CGY,2
2024-25,11/9/2024,FLA vs PHI,202411090FLA,Florida Panthers,FLA,3,Philadelphia Flyers,PHI,3
2024-25,11/9/2024,BOS vs OTT,202411090BOS,Boston Bruins,BOS,2,Ottawa Senators,OTT,3
2024-25,11/9/2024,TOR vs MTL,202411090TOR,Toronto Maple Leafs,TOR,4,Montreal Canadiens,MTL,1
2024-25,11/9/2024,DET vs NYR,202411090DET,Detroit Red Wings,DET,0,New York Rangers,NYR,4
2024-25,11/9/2024,STL vs WSH,202411090STL,St. Louis Blues,STL,1,Washington Capitals,WSH,8
2024-25,11/9/2024,WPG vs DAL,202411090WPG,Winnipeg Jets,WPG,4,Dallas Stars,DAL,1
2024-25,11/9/2024,NYI vs NJD,202411090NYI,New York Islanders,NYI,3,New Jersey Devils,NJD,4
2024-25,11/9/2024,COL vs CAR,202411090COL,Colorado Avalanche,COL,6,Carolina Hurricanes,CAR,4
2024-25,11/9/2024,LAK vs CBJ,202411090LAK,Los Angeles Kings,LAK,5,Columbus Blue Jackets,CBJ,2
2024-25,11/9/2024,VAN vs EDM,202411090VAN,Vancouver Canucks,VAN,3,Edmonton Oilers,EDM,7
2024-25,11/9/2024,NSH vs ARI,202411090NSH,Nashville Predators,NSH,4,Arizona Coyotes,ARI,0
2024-25,11/8/2024,TOR vs DET,202411080TOR,Toronto Maple Leafs,TOR,3,Detroit Red Wings,DET,1
2024-25,11/8/2024,WSH vs PIT,202411080WSH,Washington Capitals,WSH,2,Pittsburgh Penguins,PIT,4
2024-25,11/8/2024,ANA vs MIN,202411080ANA,Anaheim Ducks,ANA,2,Minnesota Wild,MIN,5
2024-25,11/8/2024,SEA vs VEG,202411080SEA,Seattle Kraken,SEA,4,Vegas Golden Knights,VEG,3
2024-25,11/7/2024,BOS vs CGY,202411070BOS,Boston Bruins,BOS,4,Calgary Flames,CGY,3
2024-25,11/7/2024,OTT vs NYI,202411070OTT,Ottawa Senators,OTT,2,New York Islanders,NYI,4
2024-25,11/7/2024,TBL vs PHI,202411070TBL,Tampa Bay Lightning,TBL,1,Philadelphia Flyers,PHI,1
2024-25,11/7/2024,FLA vs NSH,202411070FLA,Florida Panthers,FLA,6,Nashville Predators,NSH,2
2024-25,11/7/2024,NJD vs MTL,202411070NJD,New Jersey Devils,NJD,5,Montreal Canadiens,MTL,3
2024-25,11/7/2024,NYR vs BUF,202411070NYR,New York Rangers,NYR,1,Buffalo Sabres,BUF,6
2024-25,11/7/2024,CAR vs PIT,202411070CAR,Carolina Hurricanes,CAR,5,Pittsburgh Penguins,PIT,1
2024-25,11/7/2024,STL vs UTA,202411070STL,St. Louis Blues,STL,2,Arizona Coyotes,ARI,4
2024-25,11/7/2024,DAL vs CHI,202411070DAL,Dallas Stars,DAL,3,Chicago Blackhawks,CHI,1
2024-25,11/7/2024,WPG vs COL,202411070WPG,Winnipeg Jets,WPG,1,Colorado Avalanche,COL,0
2024-25,11/7/2024,LAK vs VAN,202411070LAK,Los Angeles Kings,LAK,2,Vancouver Canucks,VAN,4
2024-25,11/7/2024,SJS vs MIN,202411070SJS,San Jose Sharks,SJS,2,Minnesota Wild,MIN,5
2024-25,11/6/2024,WSH vs NSH,202411060WSH,Washington Capitals,WSH,3,Nashville Predators,NSH,2
2024-25,11/6/2024,CHI vs DET,202411060CHI,Chicago Blackhawks,CHI,1,Detroit Red Wings,DET,4
2024-25,11/6/2024,EDM vs VEG,202411060EDM,Edmonton Oilers,EDM,2,Vegas Golden Knights,VEG,4
2024-25,11/5/2024,BUF vs OTT,202411050BUF,Buffalo Sabres,BUF,5,Ottawa Senators,OTT,1
2024-25,11/5/2024,TOR vs BOS,202411050TOR,Toronto Maple Leafs,TOR,4,Boston Bruins,BOS,0
2024-25,11/5/2024,MTL vs CGY,202411050MTL,Montreal Canadiens,MTL,2,Calgary Flames,CGY,3
2024-25,11/5/2024,CAR vs PHI,202411050CAR,Carolina Hurricanes,CAR,6,Philadelphia Flyers,PHI,4
2024-25,11/5/2024,NYI vs PIT,202411050NYI,New York Islanders,NYI,3,Pittsburgh Penguins,PIT,3
2024-25,11/5/2024,STL vs TBL,202411050STL,St. Louis Blues,STL,3,Tampa Bay Lightning,TBL,2
2024-25,11/5/2024,MIN vs LAK,202411050MIN,Minnesota Wild,MIN,1,Los Angeles Kings,LAK,5
2024-25,11/5/2024,WPG vs ARI,202411050WPG,Winnipeg Jets,WPG,3,Arizona Coyotes,ARI,0
2024-25,11/5/2024,COL vs SEA,202411050COL,Colorado Avalanche,COL,6,Seattle Kraken,SEA,3
2024-25,11/5/2024,ANA vs VAN,202411050ANA,Anaheim Ducks,ANA,1,Vancouver Canucks,VAN,5
2024-25,11/5/2024,SJS vs CBJ,202411050SJS,San Jose Sharks,SJS,2,Columbus Blue Jackets,CBJ,1
2024-25,11/4/2024,EDM vs NJD,202411040EDM,Edmonton Oilers,EDM,0,New Jersey Devils,NJD,3
2024-25,11/4/2024,NSH vs LAK,202411040NSH,Nashville Predators,NSH,0,Los Angeles Kings,LAK,3
2024-25,11/3/2024,CAR vs WSH,202411030CAR,Carolina Hurricanes,CAR,4,Washington Capitals,WSH,2
2024-25,11/3/2024,ANA vs CHI,202411030ANA,Anaheim Ducks,ANA,2,Chicago Blackhawks,CHI,4
2024-25,11/3/2024,CGY vs EDM,202411030CGY,Calgary Flames,CGY,2,Edmonton Oilers,EDM,4
2024-25,11/3/2024,WPG vs TBL,202411030WPG,Winnipeg Jets,WPG,7,Tampa Bay Lightning,TBL,4
2024-25,11/3/2024,NYR vs NYI,202411030NYR,New York Rangers,NYR,5,New York Islanders,NYI,2
2024-25,11/3/2024,BOS vs SEA,202411030BOS,Boston Bruins,BOS,2,Seattle Kraken,SEA,0
2024-25,11/3/2024,MIN vs TOR,202411030MIN,Minnesota Wild,MIN,2,Toronto Maple Leafs,TOR,1
2024-25,11/2/2024,PIT vs MTL,202411020PIT,Pittsburgh Penguins,PIT,3,Montreal Canadiens,MTL,1
2024-25,11/2/2024,LAK vs CHI,202411020LAK,Los Angeles Kings,LAK,3,Chicago Blackhawks,CHI,3
2024-25,11/2/2024,OTT vs SEA,202411020OTT,Ottawa Senators,OTT,3,Seattle Kraken,SEA,0
2024-25,11/2/2024,SJS vs VAN,202411020SJS,San Jose Sharks,SJS,2,Vancouver Canucks,VAN,3
2024-25,11/2/2024,PHI vs BOS,202411020PHI,Philadelphia Flyers,PHI,0,Boston Bruins,BOS,3
2024-25,11/2/2024,NSH vs COL,202411020NSH,Nashville Predators,NSH,5,Colorado Avalanche,COL,2
2024-25,11/2/2024,WSH vs CBJ,202411020WSH,Washington Capitals,WSH,7,Columbus Blue Jackets,CBJ,2
2024-25,11/2/2024,DET vs BUF,202411020DET,Detroit Red Wings,DET,2,Buffalo Sabres,BUF,1
2024-25,11/2/2024,FLA vs DAL,202411020FLA,Florida Panthers,FLA,4,Dallas Stars,DAL,2
2024-25,11/2/2024,VEG vs ARI,202411020VEG,Vegas Golden Knights,VEG,4,Arizona Coyotes,ARI,3
2024-25,11/2/2024,STL vs TOR,202411020STL,St. Louis Blues,STL,4,Toronto Maple Leafs,TOR,2
