GameID,Game,Player,PlayerID,Team,Is_Home,Opp
202411090BOS,BOS vs OTT,MICHAEL AMADIO,amadimi01,OTT,0,BOS
202411090BOS,BOS vs OTT,DRAKE BATHERSON,bathedr01,OTT,0,BOS
202411090BOS,BOS vs OTT,JOHN BEECHER,beechjo01,BOS,1,OTT
202411090BOS,BOS vs OTT,JACOB BERNARD-DOCKER,bernaja01,OTT,0,BOS
202411090BOS,BOS vs OTT,JUSTIN BRAZEAU,brazeju01,BOS,1,OTT
202411090BOS,BOS vs OTT,BRANDON CARLO,carlobr01,BOS,1,OTT
202411090BOS,BOS vs OTT,THOMAS CHABOT,chaboth01,OTT,0,BOS
202411090BOS,BOS vs OTT,ROURKE CHARTIER,chartro01,OTT,0,BOS
202411090BOS,BOS vs OTT,NICK COUSINS,cousini01,OTT,0,BOS
202411090BOS,BOS vs OTT,CHARLIE COYLE,coylech01,BOS,1,OTT
202411090BOS,BOS vs OTT,ANGUS CROOKSHANK,crookan01,OTT,0,BOS
202411090BOS,BOS vs OTT,TRENT FREDERIC,fredetr01,BOS,1,OTT
202411090BOS,BOS vs OTT,ADAM GAUDETTE,gaudead01,OTT,0,BOS
202411090BOS,BOS vs OTT,MORGAN GEEKIE,geekimo01,BOS,1,OTT
202411090BOS,BOS vs OTT,CLAUDE GIROUX,giroucl01,OTT,0,BOS
202411090BOS,BOS vs OTT,NOAH GREGOR,gregono01,OTT,0,BOS
202411090BOS,BOS vs OTT,RIDLY GREIG,greigri01,OTT,0,BOS
202411090BOS,BOS vs OTT,MAXENCE GUENETTE,guenema01,OTT,0,BOS
202411090BOS,BOS vs OTT,TRAVIS HAMONIC,hamontr01,OTT,0,BOS
202411090BOS,BOS vs OTT,ROBY JARVENTIE,jarvero01,OTT,0,BOS
202411090BOS,BOS vs OTT,NICK JENSEN,jenseni02,OTT,0,BOS
202411090BOS,BOS vs OTT,MAX JONES,jonesma03,BOS,1,OTT
202411090BOS,BOS vs OTT,MARK KASTELIC,kastema01,BOS,1,OTT
202411090BOS,BOS vs OTT,TYLER KLEVEN,klevety01,OTT,0,BOS
202411090BOS,BOS vs OTT,COLE KOEPKE,koepkco01,BOS,1,OTT
202411090BOS,BOS vs OTT,ELIAS LINDHOLM,lindhel01,BOS,1,OTT
202411090BOS,BOS vs OTT,HAMPUS LINDHOLM,lindhha01,BOS,1,OTT
202411090BOS,BOS vs OTT,MASON LOHREI,lohrema01,BOS,1,OTT
202411090BOS,BOS vs OTT,ZACK MACEWEN,macewza01,OTT,0,BOS
202411090BOS,BOS vs OTT,BRAD MARCHAND,marchbr03,BOS,1,OTT
202411090BOS,BOS vs OTT,NIKOLAS MATINPALO,matinni01,OTT,0,BOS
202411090BOS,BOS vs OTT,CHARLIE MCAVOY,mcavoch01,BOS,1,OTT
202411090BOS,BOS vs OTT,MARC MCLAUGHLIN,mclauma01,BOS,1,OTT
202411090BOS,BOS vs OTT,GEORGII MERKULOV,merkuge01,BOS,1,OTT
202411090BOS,BOS vs OTT,JOSH NORRIS,norrijo01,OTT,0,BOS
