Season,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,PlayerID,
2017-18,Frederik Andersen,28,TOR,G,66,66,38,21,5,182,2211,2029,0.918,2.81,5,3888.516667,37,0.561,8,94,12.1,3.02,13.6,0,1,1,2,"ASnhl-11, Vezina-4",anderfr01,
2017-18,Andrei Vasilevskiy,23,TBL,G,65,64,44,17,3,167,2075,1908,0.92,2.62,8,3825.183333,36,0.563,8,92,15.1,2.82,13.2,0,2,2,14,"ASG, ASnhl-3, Vezina-3",vasilan02,
2017-18,Connor Hellebuyck,24,WPG,G,67,64,44,11,9,156,2048,1892,0.924,2.36,6,3965.9,39,0.609,6,87,23.7,2.54,14,0,2,2,0,"ASG, ASnhl-2, Hart-13, Vezina-2",helleco01,
2017-18,Henrik Lundqvist,35,NYR,G,63,61,26,26,7,174,2036,1862,0.915,2.98,2,3502.533333,32,0.525,9,97,4.7,3.22,11.9,0,1,1,0,ASG,lundqhe01,
2017-18,Cam Talbot,30,EDM,G,67,67,31,31,3,188,2036,1848,0.908,3.02,1,3730.1,32,0.478,11,105,-9.3,3.27,10.3,0,1,1,8,,talboca01,
2017-18,Sergei Bobrovsky,29,CBJ,G,65,65,37,22,6,158,1993,1835,0.921,2.42,5,3911.566667,38,0.585,10,90,16.9,2.61,12.9,0,3,3,0,"ASnhl-5, Hart-15, Vezina-8",bobrose01,
2017-18,John Gibson,24,ANA,G,60,60,31,18,7,139,1872,1733,0.926,2.43,4,3428.483333,39,0.65,4,85,25.3,2.63,13.2,0,1,1,16,ASnhl-6,gibsojo02,
2017-18,Jonathan Quick,32,LAK,G,64,63,33,28,3,147,1867,1720,0.921,2.4,5,3677.083333,37,0.587,7,90,16.9,2.58,12.2,0,4,4,10,"ASnhl-9, Jennings-1, Vezina-9",quickjo01,
2017-18,Pekka Rinne,35,NSH,G,59,59,42,13,4,134,1840,1706,0.927,2.31,8,3475.45,40,0.678,5,83,27.5,2.49,13.2,0,1,1,6,"ASG, ASnhl-1, Hart-12, Vezina-1",rinnepe01,
2017-18,Devan Dubnyk,31,MIN,G,60,59,35,16,7,145,1769,1624,0.918,2.52,5,3450.316667,36,0.61,8,93,10.3,2.71,11,0,3,3,12,,dubnyde01,
2017-18,Jimmy Howard,33,DET,G,60,57,22,27,9,160,1770,1610,0.91,2.85,1,3367.616667,28,0.491,6,103,-4.7,3.08,9.4,0,1,1,10,,howarja02,
2017-18,Jacob Markstrom,28,VAN,G,60,57,23,26,7,154,1745,1591,0.912,2.71,2,3413.716667,29,0.509,8,101,-0.8,2.92,9.6,0,3,3,4,,marksja02,
2017-18,Craig Anderson,36,OTT,G,58,55,23,25,6,180,1768,1588,0.898,3.32,2,3250.533333,25,0.455,11,116,-24.8,3.6,7.2,0,0,0,2,,andercr01,
2017-18,Jaroslav Halak,32,NYI,G,54,49,20,26,6,161,1744,1583,0.908,3.19,1,3024.05,22,0.449,8,105,-7.9,3.45,8.9,0,0,0,4,,halakja01,
2017-18,Martin Jones,28,SJS,G,60,60,30,22,6,145,1699,1554,0.915,2.55,4,3415.733333,36,0.6,9,97,4.1,2.74,9.9,0,0,0,2,,jonesma02,
2017-18,Mike Smith,35,CGY,G,55,55,25,22,6,141,1686,1545,0.916,2.65,3,3190.6,32,0.582,9,95,7,2.86,10.2,0,2,2,8,ASG,smithmi01,
2017-18,Braden Holtby,28,WSH,G,54,54,34,16,4,153,1648,1495,0.907,2.99,0,3067.8,30,0.556,9,106,-8.4,3.23,8.3,0,0,0,2,ASG,holtbbr01,
2017-18,Semyon Varlamov,29,COL,G,51,47,24,16,6,128,1595,1467,0.92,2.68,2,2861.05,28,0.596,5,91,12,2.89,10.2,0,0,0,2,,varlasi01,
2017-18,Jake Allen,27,STL,G,59,56,27,25,3,152,1614,1462,0.906,2.75,1,3316.966667,27,0.482,8,107,-10.3,2.97,7.9,0,1,1,0,,allenja01,
2017-18,Robin Lehner,26,BUF,G,53,50,14,26,9,143,1560,1417,0.908,3.01,3,2852.016667,24,0.48,8,104,-6.1,3.26,8,0,0,0,2,,lehnero01,
2017-18,Tuukka Rask,30,BOS,G,54,53,34,14,5,125,1513,1388,0.917,2.36,3,3173.083333,30,0.566,6,94,7.8,2.53,9.3,0,2,2,4,"ASnhl-8, Vezina-7",rasktu01,
2017-18,Carey Price,30,MTL,G,49,48,16,26,7,148,1487,1339,0.9,3.11,1,2854.616667,21,0.438,10,113,-17.5,3.36,6.4,0,0,0,0,ASG,priceca01,
2017-18,Ben Bishop,31,DAL,G,53,51,26,17,5,120,1437,1317,0.916,2.49,5,2886.833333,27,0.529,8,95,6.1,2.68,8.7,0,1,1,4,,bishobe01,
2017-18,Antti Raanta,28,ARI,G,47,46,21,17,6,97,1388,1291,0.93,2.24,3,2599.116667,32,0.696,6,80,24.8,2.4,10.4,0,0,0,0,ASnhl-7,raantan01,
2017-18,Matt Murray,23,PIT,G,49,45,27,16,3,133,1423,1290,0.907,2.92,1,2732.966667,19,0.422,6,106,-8.1,3.16,7,0,1,1,2,,murrama02,
2017-18,Marc-Andre Fleury,33,VEG,G,46,46,29,13,4,100,1376,1276,0.927,2.24,4,2673.4,31,0.674,4,83,20.8,2.42,9.9,0,1,1,6,"ASG, ASnhl-4, Vezina-5",fleurma01,
2017-18,James Reimer,29,FLA,G,44,42,22,14,6,120,1373,1253,0.913,2.99,4,2411.416667,22,0.524,8,100,0.5,3.23,7.7,0,1,1,4,,reimeja01,
2017-18,Brian Elliott,32,PHI,G,43,42,23,11,7,112,1228,1116,0.909,2.66,1,2522,20,0.476,6,104,-4.2,2.88,6.4,0,1,1,2,,elliobr01,
2017-18,Cory Schneider,31,NJD,G,40,40,17,16,6,114,1228,1114,0.907,2.93,1,2332.25,19,0.475,7,106,-6.2,3.16,6.2,0,0,0,0,,schneco01,
2017-18,Keith Kinkaid,28,NJD,G,41,38,26,10,3,106,1214,1108,0.913,2.77,1,2297.566667,19,0.5,4,99,0.6,2.98,6.8,0,2,2,2,,kinkake01,
2017-18,Cam Ward,33,CAR,G,43,42,23,14,4,112,1187,1075,0.906,2.73,2,2459.333333,21,0.5,10,108,-7.8,2.95,5.8,0,0,0,14,,wardca01,
2017-18,Roberto Luongo,38,FLA,G,35,33,18,11,2,81,1143,1062,0.929,2.47,3,1965.966667,22,0.667,3,81,19.3,2.66,8.5,0,2,2,0,"ASnhl-10, Byng-42, Vezina-9",luongro01,
2017-18,Scott Darling,29,CAR,G,43,40,13,21,7,131,1171,1040,0.888,3.18,0,2475.116667,14,0.35,7,127,-28.2,3.44,3.5,0,0,0,2,,darlisc01,
2017-18,Jonathan Bernier,29,COL,G,37,34,19,13,3,95,1092,997,0.913,2.85,2,2001.383333,18,0.529,5,99,0.8,3.09,6.2,0,1,1,0,,bernijo01,
2017-18,Petr Mrazek,25,2TM,G,39,33,14,13,6,106,1080,974,0.902,3.03,4,2096.7,11,0.333,8,112,-11.2,3.29,4.8,0,0,0,0,,mrazepe01,
2017-18,Philipp Grubauer,26,WSH,G,35,28,15,10,3,73,953,880,0.923,2.35,3,1864.8,19,0.679,3,87,10.6,2.54,6.5,0,1,1,0,,grubaph01,
2017-18,Kari Lehtonen,34,DAL,G,37,30,15,14,3,83,946,863,0.912,2.56,1,1944.3,19,0.633,7,100,0,2.75,5.3,0,0,0,4,,lehtoka01,
2017-18,Chad Johnson,31,BUF,G,36,29,10,16,3,105,962,857,0.891,3.55,0,1773.533333,12,0.414,6,124,-20.6,3.86,3.1,0,0,0,0,,johnsch02,
2017-18,Anton Forsberg,25,CHI,G,35,30,10,16,4,85,921,836,0.908,2.97,0,1714.783333,14,0.467,7,105,-4.2,3.22,4.7,0,1,1,0,,forsban01,
