Player,PlayerID,Age,TeamID,Pos,GP,G,A,PTS,SOG,SPCT,HIT,BLK,TOI,PIM,EVG,PPG,SHG,EVA,PPA,SHA,FOW,FOL,FO%,G_GP,A_GP,PTS_GP,SOG_GP,HIT_GP,BLK_GP,TOI_GP
Martin Necas,necasma01,26,CAR,C,26,14,27,41,63,22.2,18,9,475.15,6,7,7,0,15,12,0,25,35,41.7,0.538461538,1.038461538,1.576923077,2.423076923,0.692307692,0.346153846,18.275
Nathan MacKinnon,mackina01,29,COL,C,27,9,31,40,108,8.3,17,20,634.9,18,6,3,0,21,10,0,230,251,47.8,0.333333333,1.148148148,1.481481481,4,0.62962963,0.740740741,23.51481481
Kirill Kaprizov,kapriki01,27,MIN,LW,24,16,23,39,77,20.8,9,10,538.3833333,8,13,3,0,17,6,0,0,2,0,0.666666667,0.958333333,1.625,3.208333333,0.375,0.416666667,22.43263889
Jack Eichel,eicheja01,28,VEG,C,27,8,30,38,76,10.5,9,19,562.7833333,4,8,0,0,19,11,0,205,215,48.8,0.296296296,1.111111111,1.407407407,2.814814815,0.333333333,0.703703704,20.84382716
Sam Reinhart,reinhsa01,29,FLA,C,27,19,18,37,72,26.4,34,22,552.8333333,4,9,6,4,12,5,1,80,117,40.6,0.703703704,0.666666667,1.37037037,2.666666667,1.259259259,0.814814815,20.47530864
Mitch Marner,marnemi01,27,TOR,RW,25,9,27,36,62,14.5,14,12,540.2333333,4,4,4,1,17,10,0,2,7,22.2,0.36,1.08,1.44,2.48,0.56,0.48,21.60933333
Jesper Bratt,brattje01,26,NJD,W,28,12,23,35,74,16.2,31,17,512.5666667,12,7,4,1,10,13,0,0,3,0,0.428571429,0.821428571,1.25,2.642857143,1.107142857,0.607142857,18.30595238
Connor McDavid,mcdavco01,28,EDM,C,23,12,23,35,84,14.3,16,2,492.6833333,8,7,5,0,19,4,0,116,125,48.1,0.52173913,1,1.52173913,3.652173913,0.695652174,0.086956522,21.42101449
Mikko Rantanen,rantami01,28,COL,RW,27,15,20,35,79,19,15,17,615.2,18,10,5,0,13,7,0,61,55,52.6,0.555555556,0.740740741,1.296296296,2.925925926,0.555555556,0.62962963,22.78518519
Leon Draisaitl,draisle01,29,EDM,C,26,19,15,34,72,26.4,6,10,553.8833333,10,15,4,0,11,4,0,271,199,57.7,0.730769231,0.576923077,1.307692308,2.769230769,0.230769231,0.384615385,21.30320513
Nikita Kucherov,kucheni01,31,TBL,RW,22,12,22,34,82,14.6,13,10,473.55,2,11,1,0,9,13,0,0,0,0,0.545454545,1,1.545454545,3.727272727,0.590909091,0.454545455,21.525
Cale Makar,makarca01,26,COL,D,27,8,26,34,80,10,26,39,678.9,4,4,3,1,15,11,0,0,0,0,0.296296296,0.962962963,1.259259259,2.962962963,0.962962963,1.444444444,25.14444444
Dylan Strome,stromdy01,27,WSH,C,25,8,26,34,39,20.5,4,16,439.2666667,10,7,1,0,16,10,0,221,179,55.3,0.32,1.04,1.36,1.56,0.16,0.64,17.57066667
Jack Hughes,hugheja03,23,NJD,C,28,11,22,33,97,11.3,4,14,575.7333333,2,7,4,0,9,13,0,107,176,37.8,0.392857143,0.785714286,1.178571429,3.464285714,0.142857143,0.5,20.56190476
Brandon Hagel,hagelbr01,26,TBL,LW,24,12,19,31,67,17.9,8,16,513.5166667,18,11,0,1,14,4,1,3,8,27.3,0.5,0.791666667,1.291666667,2.791666667,0.333333333,0.666666667,21.39652778
Kyle Connor,connoky01,28,WPG,LW,27,14,16,30,90,15.6,4,12,538.75,15,8,5,1,13,3,0,0,6,0,0.518518519,0.592592593,1.111111111,3.333333333,0.148148148,0.444444444,19.9537037
Travis Konecny,konectr01,27,PHI,C,26,13,17,30,72,18.1,40,15,553.3833333,31,7,5,1,15,2,0,11,20,35.5,0.5,0.653846154,1.153846154,2.769230769,1.538461538,0.576923077,21.28397436
Anze Kopitar,kopitan01,37,LAK,C,26,8,22,30,32,25,8,16,499.95,0,6,2,0,13,8,1,302,220,57.9,0.307692308,0.846153846,1.153846154,1.230769231,0.307692308,0.615384615,19.22884615
Tim Stutzle,stuetti02,23,OTT,LW,25,10,20,30,54,18.5,48,20,508.8333333,12,9,1,0,10,10,0,41,83,33.1,0.4,0.8,1.2,2.16,1.92,0.8,20.35333333
Mikael Granlund,granlmi01,32,SJS,C,27,10,19,29,78,12.8,22,18,559.75,10,6,3,1,13,6,0,176,191,48,0.37037037,0.703703704,1.074074074,2.888888889,0.814814815,0.666666667,20.73148148
Quinn Hughes,hughequ01,25,VAN,D,24,6,23,29,79,7.6,5,22,599.1,19,5,1,0,12,11,0,0,0,0,0.25,0.958333333,1.208333333,3.291666667,0.208333333,0.916666667,24.9625
Artemi Panarin,panarar01,33,NYR,LW,24,13,16,29,79,16.5,5,6,469.8,4,8,5,0,10,6,0,0,1,0,0.541666667,0.666666667,1.208333333,3.291666667,0.208333333,0.25,19.575
Mark Scheifele,scheima01,31,WPG,C,27,13,16,29,59,22,29,23,551.5166667,21,11,2,0,8,8,0,191,190,50.1,0.481481481,0.592592593,1.074074074,2.185185185,1.074074074,0.851851852,20.42654321
Brady Tkachuk,tkachbr01,25,OTT,LW,25,13,16,29,106,12.3,101,17,458.0833333,50,6,7,0,12,4,0,73,73,50,0.52,0.64,1.16,4.24,4.04,0.68,18.32333333
Sebastian Aho,ahose01,27,CAR,F,26,7,21,28,68,10.3,24,9,517.7,22,5,2,0,10,10,1,203,165,55.2,0.269230769,0.807692308,1.076923077,2.615384615,0.923076923,0.346153846,19.91153846
Ivan Barbashev,barbaiv01,29,VEG,C,27,13,15,28,47,27.7,49,15,455.7333333,2,12,1,0,15,0,0,2,6,25,0.481481481,0.555555556,1.037037037,1.740740741,1.814814815,0.555555556,16.87901235
Matt Duchene,duchema01,34,DAL,C,25,12,16,28,44,27.3,13,7,408.7833333,4,9,3,0,8,8,0,110,89,55.3,0.48,0.64,1.12,1.76,0.52,0.28,16.35133333
Matthew Tkachuk,tkachma01,27,FLA,LW,22,8,20,28,63,12.7,40,7,395.4,20,3,5,0,13,7,0,0,2,0,0.363636364,0.909090909,1.272727273,2.863636364,1.818181818,0.318181818,17.97272727
Aleksander Barkov,barkoal01,29,FLA,C,19,7,20,27,41,17.1,22,18,379.7,4,3,3,1,10,7,3,173,92,65.3,0.368421053,1.052631579,1.421052632,2.157894737,1.157894737,0.947368421,19.98421053
Drake Batherson,bathedr01,26,OTT,C,25,9,18,27,54,16.7,45,7,458.6666667,10,4,5,0,11,7,0,4,3,57.1,0.36,0.72,1.08,2.16,1.8,0.28,18.34666667
Nico Hischier,hischni01,26,NJD,C,28,15,12,27,79,19,14,21,571.6833333,2,10,5,0,5,6,1,370,304,54.9,0.535714286,0.428571429,0.964285714,2.821428571,0.5,0.75,20.4172619
William Nylander,nylanwi01,28,TOR,C,25,16,11,27,88,18.2,1,7,482.1833333,12,10,6,0,5,6,0,42,40,51.2,0.64,0.44,1.08,3.52,0.04,0.28,19.28733333
Lucas Raymond,raymolu01,22,DET,LW,26,9,18,27,55,16.4,12,13,498.85,6,7,1,1,6,12,0,0,1,0,0.346153846,0.692307692,1.038461538,2.115384615,0.461538462,0.5,19.18653846
Nick Suzuki,suzukni01,25,MTL,C,26,10,17,27,58,17.2,24,25,511.4,4,9,1,0,11,6,0,195,202,49.1,0.384615385,0.653846154,1.038461538,2.230769231,0.923076923,0.961538462,19.66923077
Zach Werenski,werenza01,27,CBJ,D,25,8,19,27,92,8.7,7,40,651.4166667,13,6,2,0,12,6,1,0,0,0,0.32,0.76,1.08,3.68,0.28,1.6,26.05666667
