Player,PlayerID,Team,Stat,Line,Type
SEBASTIAN AHO,ahose01,CAR,A,0.5,Norm.
SEBASTIAN AHO,ahose01,CAR,G,0.5,Dem.
SEBASTIAN AHO,ahose01,CAR,PTS,0.5,Gob.
SEBASTIAN AHO,ahose01,CAR,PTS,1.5,Dem.
SEBASTIAN AHO,ahose01,CAR,SOG,2.5,Gob.
SEBASTIAN AHO,ahose01,CAR,SOG,3.5,Dem.
SEBASTIAN AHO,ahose01,CAR,TOI,19.5,Norm.
SEBASTIAN AHO,ahose01,CAR,TOI,19.75,Norm.
RASMUS ANDERSSON,anderra01,CGY,A,0.5,Dem.
RASMUS ANDERSSON,anderra01,CGY,BLK,2.5,Norm.
RASMUS ANDERSSON,anderra01,CGY,PTS,0.5,Norm.
RASMUS ANDERSSON,anderra01,CGY,PTS,0.5,Dem.
RASMUS ANDERSSON,anderra01,CGY,SOG,1.5,Gob.
RASMUS ANDERSSON,anderra01,CGY,SOG,2.5,Dem.
JOEL ARMIA,armiajo01,MTL,G,0.5,Dem.
JOEL ARMIA,armiajo01,MTL,SOG,1.5,Gob.
JOEL ARMIA,armiajo01,MTL,SOG,2.5,Dem.
JOEL ARMIA,armiajo01,MTL,SOG,1.5,Norm.
VIKTOR ARVIDSSON,arvidvi01,EDM,A,0.5,Dem.
VIKTOR ARVIDSSON,arvidvi01,EDM,G,0.5,Dem.
VIKTOR ARVIDSSON,arvidvi01,EDM,PTS,0.5,Norm.
VIKTOR ARVIDSSON,arvidvi01,EDM,SOG,2.5,Norm.
VIKTOR ARVIDSSON,arvidvi01,EDM,SOG,3.5,Dem.
VIKTOR ARVIDSSON,arvidvi01,EDM,SOG,2.5,Gob.
JONATHAN MARCHESSAULT,audymjo01,NSH,A,0.5,Dem.
JONATHAN MARCHESSAULT,audymjo01,NSH,G,0.5,Dem.
JONATHAN MARCHESSAULT,audymjo01,NSH,PTS,0.5,Gob.
JONATHAN MARCHESSAULT,audymjo01,NSH,PTS,1.5,Dem.
JONATHAN MARCHESSAULT,audymjo01,NSH,SOG,2.5,Gob.
JONATHAN MARCHESSAULT,audymjo01,NSH,SOG,3.5,Dem.
MIKAEL BACKLUND,backlmi01,CGY,A,0.5,Dem.
MIKAEL BACKLUND,backlmi01,CGY,G,0.5,Dem.
MIKAEL BACKLUND,backlmi01,CGY,PTS,0.5,Norm.
MIKAEL BACKLUND,backlmi01,CGY,SOG,2.5,Norm.
MIKAEL BACKLUND,backlmi01,CGY,SOG,1.5,Gob.
IVAN BARBASHEV,barbaiv01,VEG,A,0.5,Dem.
IVAN BARBASHEV,barbaiv01,VEG,G,0.5,Dem.
IVAN BARBASHEV,barbaiv01,VEG,PTS,0.5,Norm.
IVAN BARBASHEV,barbaiv01,VEG,SOG,1.5,Gob.
IVAN BARBASHEV,barbaiv01,VEG,SOG,2.5,Dem.
MATHEW BARZAL,barzama01,NYI,A,0.5,Norm.
MATHEW BARZAL,barzama01,NYI,G,0.5,Dem.
MATHEW BARZAL,barzama01,NYI,PTS,0.5,Gob.
MATHEW BARZAL,barzama01,NYI,PTS,1.5,Dem.
MATHEW BARZAL,barzama01,NYI,SOG,2.5,Gob.
MATHEW BARZAL,barzama01,NYI,SOG,3.5,Dem.
MATHEW BARZAL,barzama01,NYI,SOG,2.5,Norm.
MATHEW BARZAL,barzama01,NYI,TOI,20.25,Norm.
MATHEW BARZAL,barzama01,NYI,TOI,20,Norm.
DRAKE BATHERSON,bathedr01,OTT,A,0.5,Dem.
DRAKE BATHERSON,bathedr01,OTT,G,0.5,Dem.
DRAKE BATHERSON,bathedr01,OTT,PTS,0.5,Gob.
DRAKE BATHERSON,bathedr01,OTT,PTS,1.5,Dem.
DRAKE BATHERSON,bathedr01,OTT,SOG,1.5,Gob.
DRAKE BATHERSON,bathedr01,OTT,SOG,2.5,Norm.
DRAKE BATHERSON,bathedr01,OTT,SOG,3.5,Dem.
DRAKE BATHERSON,bathedr01,OTT,SOG,2.5,Gob.
CONNOR BEDARD,bedarco01,CHI,A,0.5,Norm.
CONNOR BEDARD,bedarco01,CHI,G,0.5,Dem.
CONNOR BEDARD,bedarco01,CHI,PTS,0.5,Gob.
CONNOR BEDARD,bedarco01,CHI,PTS,1.5,Dem.
CONNOR BEDARD,bedarco01,CHI,SOG,2.5,Gob.
