Player,PlayerID,Team,TeamID,Position
Noel Acciari,acciano01,Pittsburgh Penguins,PIT,F
Calen Addison,addisca01,San Jose Sharks,SJS,D
Egor Afanasyev,afanaeg01,Nashville Predators,NSH,F
Sebastian Aho,ahose01,Carolina Hurricanes,CAR,F
Sebastian Aho,ahose02,New York Islanders,NYI,D
Nikita Alexandrov,alexani01,St. Louis Blues,STL,F
Alexander Alexeyev,alexeal01,Washington Capitals,WSH,D
Nolan Allan,allanno01,Chicago Blackhawks,CHI,D
Jake Allen,allenja01,New Jersey Devils,NJD,G
Michael Amadio,amadimi01,Ottawa Senators,OTT,F
Nils Aman,amanni01,Vancouver Canucks,VAN,F
Frederik Andersen,anderfr01,Carolina Hurricanes,CAR,G
Jaret Anderson-Dolan,anderja01,Winnipeg Jets,WPG,F
Josh Anderson,anderjo05,Montreal Canadiens,MTL,F
Joey Anderson,anderjo08,Chicago Blackhawks,CHI,F
Mikey Anderson,andermi02,Los Angeles Kings,LAK,D
Rasmus Andersson,anderra01,Calgary Flames,CGY,D
Emil Andrae,andraem01,Philadelphia Flyers,PHI,D
Tyler Angle,anglety01,Columbus Blue Jackets,CBJ,F
Justus Annunen,annunju01,Colorado Avalanche,COL,G
Mason Appleton,applema01,Winnipeg Jets,WPG,F
Joel Armia,armiajo01,Montreal Canadiens,MTL,F
Viktor Arvidsson,arvidvi01,Edmonton Oilers,EDM,F
Zach Aston-Reese,astonza01,Columbus Blue Jackets,CBJ,F
Andreas Athanasiou,athanan01,Chicago Blackhawks,CHI,F
Cam Atkinson,atkinca01,Tampa Bay Lightning,TBL,F
Ronnie Attard,attarro01,Philadelphia Flyers,PHI,D
Nicolas Aube-Kubel,aubekni01,Buffalo Sabres,BUF,F
Jonathan Marchessault,audymjo01,Nashville Predators,NSH,F
Mikael Backlund,backlmi01,Calgary Flames,CGY,F
Oskar Back,backos01,Dallas Stars,DAL,F
Nicklas Backstrom,backsni02,Washington Capitals,WSH,F
Kevin Bahl,bahlke01,Calgary Flames,CGY,D
Justin Bailey,baileju01,San Jose Sharks,SJS,F
Arshdeep Bains,bainsar01,Vancouver Canucks,VAN,F
Uvis Balinskis,balinuv01,Florida Panthers,FLA,D
Alexander Barabanov,barabal01,San Jose Sharks,SJS,F
Ivan Barbashev,barbaiv01,Vegas Golden Knights,VEG,F
Aleksander Barkov,barkoal01,Florida Panthers,FLA,F
Alex Barre-Boulet,barreal01,Montreal Canadiens,MTL,F
Tyson Barrie,barrity01,Calgary Flames,CGY,D
Justin Barron,barroju01,Montreal Canadiens,MTL,D
Morgan Barron,barromo01,Winnipeg Jets,WPG,F
Mathew Barzal,barzama01,New York Islanders,NYI,F
Nathan Bastian,bastina01,New Jersey Devils,NJD,F
Drake Batherson,bathedr01,Ottawa Senators,OTT,F
Jake Bean,beanja01,Calgary Flames,CGY,D
Ethan Bear,bearet01,Washington Capitals,WSH,D
Anthony Beauvillier,beauvan01,Pittsburgh Penguins,PIT,F
Adam Beckman,beckmad01,Minnesota Wild,MIN,F
Connor Bedard,bedarco01,Chicago Blackhawks,CHI,F
John Beecher,beechjo01,Boston Bruins,BOS,F
Louis Belpedio,belpelo01,Philadelphia Flyers,PHI,D
Matty Beniers,beniema01,Seattle Kraken,SEA,F
Sam Bennett,bennesa01,Florida Panthers,FLA,F
Matt Benning,bennima01,San Jose Sharks,SJS,D
Jamie Benn,bennja01,Dallas Stars,DAL,F
Simon Benoit,benoisi01,Toronto Maple Leafs,TOR,D
Zach Benson,bensoza01,Buffalo Sabres,BUF,F
Jonatan Berggren,berggjo02,Detroit Red Wings,DET,F
Jacob Bernard-Docker,bernaja01,Ottawa Senators,OTT,D
Tyler Bertuzzi,bertuty01,Chicago Blackhawks,CHI,F
Jordan Binnington,binnijo01,St. Louis Blues,STL,G
Brandon Biro,birobr01,Buffalo Sabres,BUF,F
Oliver Bjorkstrand,bjorkol01,Seattle Kraken,SEA,F
Nick Bjugstad,bjugsni01,Arizona Coyotes,ARI,F
Colin Blackwell,blackco01,Dallas Stars,DAL,F
Mackenzie Blackwood,blackma01,San Jose Sharks,SJS,G
Jackson Blake,blakeja02,Carolina Hurricanes,CAR,F
Nick Blankenburg,blankni01,Columbus Blue Jackets,CBJ,D
Joel Blomqvist,blomqjo01,Pittsburgh Penguins,PIT,G
Teddy Blueger,bluegte01,Vancouver Canucks,VAN,F
Matej Blumel,blumema01,Dallas Stars,DAL,F
Sergei Bobrovsky,bobrose01,Florida Panthers,FLA,G
Brock Boeser,boesebr01,Vancouver Canucks,VAN,F
Zach Bogosian,bogosza01,Minnesota Wild,MIN,D
Samuel Bolduc,boldusa01,New York Islanders,NYI,D
Zachary Bolduc,bolduza01,St. Louis Blues,STL,F
Matt Boldy,boldyma01,Minnesota Wild,MIN,F
Adam Boqvist,boqviad01,Florida Panthers,FLA,D
Jesper Boqvist,boqvije01,Florida Panthers,FLA,F
Thomas Bordeleau,bordeth01,San Jose Sharks,SJS,F
Will Borgen,borgewi01,Seattle Kraken,SEA,D
Robert Bortuzzo,borturo01,Arizona Coyotes,ARI,D
Evan Bouchard,bouchev01,Edmonton Oilers,EDM,D
Mavrik Bourque,bourqma01,Dallas Stars,DAL,F
Travis Boyd,boydtr01,Arizona Coyotes,ARI,F
Erik Brannstrom,branner01,Vancouver Canucks,VAN,D
Jesper Bratt,brattje01,New Jersey Devils,NJD,F
Justin Brazeau,brazeju01,Boston Bruins,BOS,F
Gavin Brindley,brindga01,Columbus Blue Jackets,CBJ,F
Bobby Brink,brinkbo01,Philadelphia Flyers,PHI,F
Brendan Brisson,brissbr01,Vegas Golden Knights,VEG,F
Philip Broberg,brobeph01,St. Louis Blues,STL,D
Jonas Brodin,brodijo01,Minnesota Wild,MIN,D
Tj Brodie,broditj01,Chicago Blackhawks,CHI,D
Jonny Brodzinski,brodzjo01,New York Rangers,NYR,F
Connor Brown,brownco02,Edmonton Oilers,EDM,F
Josh Brown,brownjo01,Arizona Coyotes,ARI,D
Jacob Bryson,brysoja01,Buffalo Sabres,BUF,D
Pavel Buchnevich,buchnpa01,St. Louis Blues,STL,F
Michael Bunting,buntimi01,Pittsburgh Penguins,PIT,F
Andre Burakovsky,burakan01,Seattle Kraken,SEA,F
Brent Burns,burnsbr01,Carolina Hurricanes,CAR,D
Kyle Burroughs,burroky01,Los Angeles Kings,LAK,D
Cameron Butler,butleca01,Columbus Blue Jackets,CBJ,F
Quinton Byfield,byfiequ01,Los Angeles Kings,LAK,F
Bowen Byram,byrambo01,Buffalo Sabres,BUF,D
Drake Caggiula,caggidr01,Edmonton Oilers,EDM,F
Michael Carcone,carcomi01,Arizona Coyotes,ARI,F
Ethan Cardwell,cardwet01,San Jose Sharks,SJS,F
Declan Carlile,carlide01,Tampa Bay Lightning,TBL,D
Brandon Carlo,carlobr01,Boston Bruins,BOS,D
John Carlson,carlsjo01,Washington Capitals,WSH,D
Leo Carlsson,carlsle01,Anaheim Ducks,ANA,F
Alexandre Carrier,carrial01,Nashville Predators,NSH,D
Sam Carrick,carrisa01,New York Rangers,NYR,F
William Carrier,carriwi01,Carolina Hurricanes,CAR,F
Jeff Carter,carteje01,Pittsburgh Penguins,PIT,F
Seamus Casey,caseyse01,New Jersey Devils,NJD,D
Noah Cates,catesno01,Philadelphia Flyers,PHI,F
Cole Caufield,caufico01,Montreal Canadiens,MTL,F
Cody Ceci,cecico01,San Jose Sharks,SJS,D
Macklin Celebrini,celebma01,San Jose Sharks,SJS,F
Erik Cernak,cernaer01,Tampa Bay Lightning,TBL,D
Thomas Chabot,chaboth01,Ottawa Senators,OTT,D
Mitchell Chaffee,chaffmi01,Tampa Bay Lightning,TBL,F
Rourke Chartier,chartro01,Ottawa Senators,OTT,F
Jalen Chatfield,chatfja01,Carolina Hurricanes,CAR,D
Ben Chiarot,chiarbe01,Detroit Red Wings,DET,D
Nikita Chibrikov,chibrni01,Winnipeg Jets,WPG,F
Yegor Chinakhov,chinaye01,Columbus Blue Jackets,CBJ,F
Declan Chisholm,chishde01,Minnesota Wild,MIN,D
Dennis Cholowski,cholode01,New York Islanders,NYI,D
Jake Christiansen,chrisja01,Columbus Blue Jackets,CBJ,D
Jakob Chychrun,chychja01,Washington Capitals,WSH,D
Filip Chytil,chytifi01,New York Rangers,NYR,F
Anthony Cirelli,cirelan01,Tampa Bay Lightning,TBL,F
Casey Cizikas,cizikca01,New York Islanders,NYI,F
Kale Clague,claguka01,Buffalo Sabres,BUF,D
Brandt Clarke,clarkbr02,Los Angeles Kings,LAK,D
Graeme Clarke,clarkgr01,New Jersey Devils,NJD,F
Connor Clifton,cliftco01,Buffalo Sabres,BUF,D
Cal Clutterbuck,cluttca01,New York Islanders,NYI,F
Dylan Coghlan,coghldy01,Carolina Hurricanes,CAR,D
Andrew Cogliano,coglian01,Colorado Avalanche,COL,F
Sam Colangelo,colansa01,Anaheim Ducks,ANA,F
Ian Cole,coleia01,Arizona Coyotes,ARI,D
Blake Coleman,colembl01,Calgary Flames,CGY,F
Ross Colton,coltoro01,Colorado Avalanche,COL,F
J.T. Compher,comphj.01,Detroit Red Wings,DET,F
Eric Comrie,comrier01,Winnipeg Jets,WPG,G
Lucas Condotta,condolu01,Montreal Canadiens,MTL,F
Kyle Connor,connoky01,Winnipeg Jets,WPG,F
Logan Cooley,coolelo01,Arizona Coyotes,ARI,F
Pheonix Copley,copleph01,Los Angeles Kings,LAK,G
Andrew Copp,coppan01,Detroit Red Wings,DET,F
Lukas Cormier,cormilu01,Vegas Golden Knights,VEG,D
Matt Coronato,coronma01,Calgary Flames,CGY,F
Paul Cotter,cottepa01,New Jersey Devils,NJD,F
Nick Cousins,cousini01,Ottawa Senators,OTT,F
Logan Couture,coutulo01,San Jose Sharks,SJS,F
Sean Couturier,coutuse01,Philadelphia Flyers,PHI,F
Charlie Coyle,coylech01,Boston Bruins,BOS,F
Dylan Cozens,cozendy01,Buffalo Sabres,BUF,F
Louis Crevier,crevilo01,Chicago Blackhawks,CHI,D
Angus Crookshank,crookan01,Ottawa Senators,OTT,F
Sidney Crosby,crosbsi01,Pittsburgh Penguins,PIT,F
Cameron Crotty,crottca01,Arizona Coyotes,ARI,D
Lawson Crouse,crousla01,Arizona Coyotes,ARI,F
Maxwell Crozier,crozima01,Tampa Bay Lightning,TBL,D
Will Cuylle,cuyllwi01,New York Rangers,NYR,F
Austin Czarnik,czarnau01,Detroit Red Wings,DET,F
Joey Daccord,daccojo01,Seattle Kraken,SEA,G
Kirby Dach,dachki01,Montreal Canadiens,MTL,F
Evgenii Dadonov,dadonev01,Dallas Stars,DAL,F
Rasmus Dahlin,dahlira01,Buffalo Sabres,BUF,D
Phillip Danault,danauph01,Los Angeles Kings,LAK,F
Justin Danforth,danfoju01,Columbus Blue Jackets,CBJ,F
Zach Dean,deanza01,St. Louis Blues,STL,F
Alex Debrincat,debrial01,Detroit Red Wings,DET,F
Jake Debrusk,debruja01,Vancouver Canucks,VAN,F
Calvin De Haan,dehaaca01,Colorado Avalanche,COL,D
Luca Del Bel Belluz,delbelu01,Columbus Blue Jackets,CBJ,F
Marc Del Gaizo,delgama01,Nashville Predators,NSH,D
Ty Dellandrea,dellaty01,San Jose Sharks,SJS,F
Ethan Del Mastro,delmaet01,Chicago Blackhawks,CHI,D
Dylan Demelo,demeldy01,Winnipeg Jets,WPG,D
Travis Dermott,dermotr01,Edmonton Oilers,EDM,D
Vincent Desharnais,deshavi01,Vancouver Canucks,VAN,D
Nicolas Deslauriers,deslani01,Philadelphia Flyers,PHI,F
Casey Desmith,desmica01,Dallas Stars,DAL,G
Jason Dickinson,dickija01,Chicago Blackhawks,CHI,F
Phillip Di Giuseppe,digiuph01,Vancouver Canucks,VAN,F
Brenden Dillon,dillobr01,New Jersey Devils,NJD,D
Josh Doan,doanjo01,Arizona Coyotes,ARI,F
Noah Dobson,dobsono01,New York Islanders,NYI,D
Max Domi,domima01,Toronto Maple Leafs,TOR,F
Ryan Donato,donatry01,Chicago Blackhawks,CHI,F
Pavel Dorofeyev,dorofpa01,Vegas Golden Knights,VEG,F
Lukas Dostal,dostalu01,Anaheim Ducks,ANA,G
Drew Doughty,doughdr01,Los Angeles Kings,LAK,D
Nic Dowd,dowdni01,Washington Capitals,WSH,F
Justin Dowling,dowliju01,New Jersey Devils,NJD,F
Leon Draisaitl,draisle01,Edmonton Oilers,EDM,F
Jonathan Drouin,drouijo01,Colorado Avalanche,COL,F
Jack Drury,druryja01,Carolina Hurricanes,CAR,F
Jamie Drysdale,drysdja01,Philadelphia Flyers,PHI,D
Dillon Dube,dubedi01,Calgary Flames,CGY,F
Pierrick Dube,dubepi01,Washington Capitals,WSH,F
Pierre-Luc Dubois,duboipi01,Washington Capitals,WSH,F
Matt Duchene,duchema01,Dallas Stars,DAL,F
Anthony Duclair,duclaan01,New York Islanders,NYI,F
Walker Duehr,duehrwa01,Calgary Flames,CGY,F
Brandon Duhaime,duhaibr01,Washington Capitals,WSH,F
Matt Dumba,dumbama01,Dallas Stars,DAL,D
Brian Dumoulin,dumoubr01,Anaheim Ducks,ANA,D
Vince Dunn,dunnvi02,Seattle Kraken,SEA,D
Sean Durzi,durzise01,Arizona Coyotes,ARI,D
Christian Dvorak,dvorach01,Montreal Canadiens,MTL,F
Jordan Eberle,eberljo01,Seattle Kraken,SEA,F
Joel Edmundson,edmunjo01,Los Angeles Kings,LAK,D
Adam Edstrom,edstrad01,New York Rangers,NYR,F
Simon Edvinsson,edvinsi01,Detroit Red Wings,DET,D
Nikolaj Ehlers,ehlerni01,Winnipeg Jets,WPG,F
Jack Eichel,eicheja01,Vegas Golden Knights,VEG,F
Aaron Ekblad,ekblaaa01,Florida Panthers,FLA,D
Mattias Ekholm,ekholma01,Edmonton Oilers,EDM,D
William Eklund,eklunwi01,San Jose Sharks,SJS,F
Oliver Ekman-Larsson,ekmanol01,Toronto Maple Leafs,TOR,D
Lars Eller,ellerla01,Pittsburgh Penguins,PIT,F
Ty Emberson,emberty01,Edmonton Oilers,EDM,D
Andreas Englund,engluan01,Los Angeles Kings,LAK,D
Pierre Engvall,engvapi01,New York Islanders,NYI,F
Mackenzie Entwistle,entwima01,Chicago Blackhawks,CHI,F
Joel Eriksson Ek,eriksjo02,Minnesota Wild,MIN,F
Samuel Ersson,erssosa01,Philadelphia Flyers,PHI,G
Luke Evangelista,evanglu01,Nashville Predators,NSH,F
Jake Evans,evansja02,Montreal Canadiens,MTL,F
Ryker Evans,evansry01,Seattle Kraken,SEA,D
Michael Eyssimont,eyssimi01,Tampa Bay Lightning,TBL,F
Dante Fabbro,fabbrda01,Nashville Predators,NSH,D
Robby Fabbri,fabbrro01,Anaheim Ducks,ANA,F
Brock Faber,faberbr01,Minnesota Wild,MIN,D
Radek Faksa,faksara01,St. Louis Blues,STL,F
Adam Fantilli,fantiad01,Columbus Blue Jackets,CBJ,F
Joel Farabee,farabjo01,Philadelphia Flyers,PHI,F
Hudson Fasching,faschhu01,New York Islanders,NYI,F
Jesper Fast,fastje01,Carolina Hurricanes,CAR,F
Justin Faulk,faulkju01,St. Louis Blues,STL,D
Ivan Fedotov,fedotiv01,Philadelphia Flyers,PHI,G
Martin Fehervary,feherma01,Washington Capitals,WSH,D
Mario Ferraro,ferrama01,San Jose Sharks,SJS,D
Kevin Fiala,fialake01,Los Angeles Kings,LAK,F
Christian Fischer,fischch01,Detroit Red Wings,DET,F
Trey Fix-Wolansky,fixwotr01,Columbus Blue Jackets,CBJ,F
Cale Fleury,fleurca01,Seattle Kraken,SEA,D
Haydn Fleury,fleurha01,Winnipeg Jets,WPG,D
Marc-Andre Fleury,fleurma01,Minnesota Wild,MIN,G
Warren Foegele,foegewa01,Los Angeles Kings,LAK,F
Tyson Foerster,foersty01,Philadelphia Flyers,PHI,F
Marcus Foligno,foligma01,Minnesota Wild,MIN,F
Nick Foligno,foligni01,Chicago Blackhawks,CHI,F
Nolan Foote,footeno01,New Jersey Devils,NJD,F
Derek Forbort,forbode01,Vancouver Canucks,VAN,D
Anton Forsberg,forsban01,Ottawa Senators,OTT,G
Filip Forsberg,forsbfi01,Nashville Predators,NSH,F
Gustav Forsling,forslgu02,Florida Panthers,FLA,D
Jean-Luc Foudy,foudyje01,Colorado Avalanche,COL,F
Liam Foudy,foudyli01,New York Islanders,NYI,F
Cam Fowler,fowleca01,Anaheim Ducks,ANA,D
Adam Fox,foxad01,New York Rangers,NYR,D
Trent Frederic,fredetr01,Boston Bruins,BOS,F
Byron Froese,froesby01,Vegas Golden Knights,VEG,F
Morgan Frost,frostmo01,Philadelphia Flyers,PHI,F
Jonah Gadjovich,gadjojo01,Florida Panthers,FLA,F
Brendan Gallagher,gallabr01,Montreal Canadiens,MTL,F
Rhett Gardner,gardnrh01,Philadelphia Flyers,PHI,F
Conor Garland,garlaco01,Vancouver Canucks,VAN,F
Adam Gaudette,gaudead01,Ottawa Senators,OTT,F
Frederick Gaudreau,gaudrfr01,Minnesota Wild,MIN,F
Johnny Gaudreau,gaudrjo01,Columbus Blue Jackets,CBJ,F
