GameID,Game,PlayerID,Player,Team,Is_Home,Opp,Stat,Line,Type,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,faberbr01,Brock Faber,MIN,0,CHI,PTS,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,bertuty01,Tyler Bertuzzi,CHI,1,MIN,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,teravte01,Teuvo Teravainen,CHI,1,MIN,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,hartmry01,Ryan Hartman,MIN,0,CHI,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,donatry01,Ryan Donato,CHI,1,MIN,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,kurasph01,Philipp Kurashev,CHI,1,MIN,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,brodijo01,Jonas Brodin,MIN,0,CHI,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,spurgja01,Jared Spurgeon,MIN,0,CHI,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,toffoty01,Tyler Toffoli,SJS,0,NJD,PTS,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,celebma01,Macklin Celebrini,SJS,0,NJD,PTS,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,merceda01,Dawson Mercer,NJD,1,SJS,PTS,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,noesest01,Stefan Noesen,NJD,1,SJS,PTS,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,meierti01,Timo Meier,NJD,1,SJS,PTS,0.5,Gob.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,hischni01,Nico Hischier,NJD,1,SJS,PTS,0.5,Gob.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,hughelu01,Luke Hughes,NJD,1,SJS,PTS,0.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,brattje01,Jesper Bratt,NJD,1,SJS,PTS,0.5,Gob.,,,,,,,,,,,,,,,,,
