Line ID,Game ID,Player Name,Normalized Name,Team,Market,Line,League,Sportsbook,Game Date,Start Time,Score,Grade,Latest Line Change,Change Timestamp
prizepicks_3309051,2024-11-11_anaheim-ducks_columbus-blue-jackets,Radko Gudas,radko gudas,anaheim ducks,hits,3.0,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,3.0,2024-11-10T14:37:26.322Z
prizepicks_3309050,2024-11-11_anaheim-ducks_columbus-blue-jackets,Mathieu Olivier,mathieu olivier,columbus blue jackets,hits,2.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,2.5,2024-11-10T14:37:26.322Z
prizepicks_3308775,2024-11-11_anaheim-ducks_columbus-blue-jackets,Zach Werenski,zach werenski,columbus blue jackets,assists,0.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,0.5,2024-11-10T10:12:26.376Z
prizepicks_3308774,2024-11-11_anaheim-ducks_columbus-blue-jackets,Cole Sillinger,cole sillinger,columbus blue jackets,points,0.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,0.5,2024-11-10T10:12:26.376Z
prizepicks_3308772,2024-11-11_anaheim-ducks_columbus-blue-jackets,Sean Monahan,sean monahan,columbus blue jackets,shots on goal,2.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,2.5,2024-11-10T10:02:26.357Z
prizepicks_3308771,2024-11-11_anaheim-ducks_columbus-blue-jackets,Adam Fantilli,adam fantilli,columbus blue jackets,shots on goal,2.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,2.5,2024-11-10T10:02:26.357Z
prizepicks_3308770,2024-11-11_anaheim-ducks_columbus-blue-jackets,Troy Terry,troy terry,anaheim ducks,shots on goal,2.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,2.5,2024-11-10T10:02:26.357Z
prizepicks_3308769,2024-11-11_anaheim-ducks_columbus-blue-jackets,Yegor Chinakhov,yegor chinakhov,columbus blue jackets,shots on goal,2.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,2.5,2024-11-10T10:02:26.357Z
prizepicks_3308768,2024-11-11_anaheim-ducks_columbus-blue-jackets,Cutter Gauthier,cutter gauthier,anaheim ducks,shots on goal,2.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,2.5,2024-11-10T10:02:26.357Z
prizepicks_3308767,2024-11-11_anaheim-ducks_columbus-blue-jackets,Kirill Marchenko,kirill marchenko,columbus blue jackets,shots on goal,2.5,NHL,PrizePicks,2024-11-11,2024-11-11T01:00:00.000Z,,not-started,2.5,2024-11-10T10:02:26.357Z
