Line ID,Game ID,Player Name,Normalized Name,Team,Market,Line,League,Sportsbook,Game Date,Start Time,Grade,Line Change Value,Line Change Timestamp
prizepicks_3305897,2024-11-10_edmonton-oilers_vancouver-canucks,Stuart Skinner,stuart skinner,edmonton oilers,goalie saves,24.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,24.5,2024-11-09T21:02:26.347Z
prizepicks_3305571,2024-11-10_edmonton-oilers_vancouver-canucks,Kevin Lankinen,kevin lankinen,vancouver canucks,goalie saves,27.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,27.5,2024-11-09T18:42:26.358Z
prizepicks_3304237,2024-11-10_edmonton-oilers_vancouver-canucks,Kiefer Sherwood,kiefer sherwood,vancouver canucks,hits,5.0,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,4.5,2024-11-09T14:37:26.540Z
prizepicks_3304237,2024-11-10_edmonton-oilers_vancouver-canucks,Kiefer Sherwood,kiefer sherwood,vancouver canucks,hits,5.0,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,5.0,2024-11-09T14:39:26.357Z
prizepicks_3304236,2024-11-10_edmonton-oilers_vancouver-canucks,Zach Hyman,zach hyman,edmonton oilers,hits,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,0.5,2024-11-09T14:37:26.540Z
prizepicks_3303836,2024-11-10_edmonton-oilers_vancouver-canucks,Leon Draisaitl,leon draisaitl,edmonton oilers,assists,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,0.5,2024-11-09T08:22:26.409Z
prizepicks_3303835,2024-11-10_edmonton-oilers_vancouver-canucks,Evan Bouchard,evan bouchard,edmonton oilers,assists,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,0.5,2024-11-09T08:22:26.409Z
prizepicks_3303834,2024-11-10_edmonton-oilers_vancouver-canucks,J.T. Miller,jt miller,vancouver canucks,assists,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,0.5,2024-11-09T08:22:26.409Z
prizepicks_3303831,2024-11-10_edmonton-oilers_vancouver-canucks,Ryan Nugent-Hopkins,ryan nugenthopkins,edmonton oilers,points,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,0.5,2024-11-09T08:17:26.408Z
prizepicks_3303828,2024-11-10_edmonton-oilers_vancouver-canucks,Conor Garland,conor garland,vancouver canucks,shots on goal,2.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,2.5,2024-11-09T08:17:26.408Z
prizepicks_3303826,2024-11-10_edmonton-oilers_vancouver-canucks,Viktor Arvidsson,viktor arvidsson,edmonton oilers,shots on goal,2.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,2.5,2024-11-09T08:17:26.408Z
prizepicks_3303825,2024-11-10_edmonton-oilers_vancouver-canucks,Leon Draisaitl,leon draisaitl,edmonton oilers,shots on goal,2.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,2.5,2024-11-09T08:17:26.408Z
prizepicks_3303168,2024-11-10_edmonton-oilers_vancouver-canucks,J.T. Miller,jt miller,vancouver canucks,faceoffs won,13.0,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,13.0,2024-11-09T04:12:26.417Z
prizepicks_3303167,2024-11-10_edmonton-oilers_vancouver-canucks,Leon Draisaitl,leon draisaitl,edmonton oilers,faceoffs won,8.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,8.5,2024-11-09T04:12:26.417Z
prizepicks_3303139,2024-11-10_edmonton-oilers_vancouver-canucks,Quinn Hughes,quinn hughes,vancouver canucks,time on ice,24.5,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,24.5,2024-11-09T03:57:26.373Z
prizepicks_3303138,2024-11-10_edmonton-oilers_vancouver-canucks,J.T. Miller,jt miller,vancouver canucks,time on ice,19.25,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,19.5,2024-11-09T03:57:26.373Z
prizepicks_3303138,2024-11-10_edmonton-oilers_vancouver-canucks,J.T. Miller,jt miller,vancouver canucks,time on ice,19.25,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,19.25,2024-11-09T04:07:26.413Z
prizepicks_3303137,2024-11-10_edmonton-oilers_vancouver-canucks,Evan Bouchard,evan bouchard,edmonton oilers,time on ice,24.25,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,24.0,2024-11-09T03:57:26.373Z
prizepicks_3303137,2024-11-10_edmonton-oilers_vancouver-canucks,Evan Bouchard,evan bouchard,edmonton oilers,time on ice,24.25,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,24.25,2024-11-09T18:02:26.390Z
prizepicks_3303136,2024-11-10_edmonton-oilers_vancouver-canucks,Connor McDavid,connor mcdavid,edmonton oilers,time on ice,22.0,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,21.75,2024-11-09T03:57:26.373Z
prizepicks_3303136,2024-11-10_edmonton-oilers_vancouver-canucks,Connor McDavid,connor mcdavid,edmonton oilers,time on ice,22.0,NHL,PrizePicks,2024-11-10,2024-11-10T03:00:00.000Z,not-started,22.0,2024-11-09T18:02:26.390Z
prizepicks_3305388,2024-11-10_carolina-hurricanes_colorado-avalanche,Alexandar Georgiev,alexandar georgiev,colorado avalanche,goalie saves,28.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,28.5,2024-11-09T17:42:26.403Z
