Game ID,Home Team,Away Team,Player,iCF,SAT‑F,SAT‑A,CF%,CRel%,ZSO,ZSD,oZS%,HIT,BLK,Player ID
202410230WSH,WSH,PHI,Noah Cates,1.0,14,18,43.8,-11.3,1.0,5.0,16.7,4,1,
202410230WSH,WSH,PHI,Sean Couturier,5.0,16,11,59.3,9.9,11.0,5.0,68.8,2,0,
202410230WSH,WSH,PHI,Nicolas Deslauriers,2.0,14,2,87.5,41.8,0.0,0.0,,3,0,
202410230WSH,WSH,PHI,Jamie Drysdale,1.0,18,16,52.9,1.6,12.0,3.0,80.0,0,3,
202410230WSH,WSH,PHI,Joel Farabee,1.0,6,6,50.0,-2.0,1.0,4.0,20.0,3,0,
202410230WSH,WSH,PHI,Tyson Foerster,1.0,8,13,38.1,-17.0,3.0,9.0,25.0,2,0,
202410230WSH,WSH,PHI,Morgan Frost,9.0,24,13,64.9,19.7,10.0,2.0,83.3,2,0,
202410230WSH,WSH,PHI,Garnet Hathaway,4.0,16,11,59.3,9.9,3.0,6.0,33.3,2,0,
202410230WSH,WSH,PHI,Travis Konecny,6.0,22,19,53.7,3.0,13.0,2.0,86.7,3,0,
202410230WSH,WSH,PHI,Scott Laughton,4.0,16,16,50.0,-2.6,8.0,1.0,88.9,3,0,
202410230WSH,WSH,PHI,Matvei Michkov,6.0,22,18,55.0,5.0,12.0,5.0,70.6,1,0,
202410230WSH,WSH,PHI,Ryan Poehling,0.0,6,14,30.0,-26.7,0.0,9.0,0.0,3,3,
202410230WSH,WSH,PHI,Rasmus Ristolainen,2.0,11,18,37.9,-18.9,1.0,8.0,11.1,0,0,
202410230WSH,WSH,PHI,Travis Sanheim,6.0,28,18,60.9,15.6,6.0,9.0,40.0,2,2,
202410230WSH,WSH,PHI,Nick Seeler,2.0,12,12,50.0,-2.3,2.0,5.0,28.6,1,1,
202410230WSH,WSH,PHI,Owen Tippett,3.0,14,12,53.8,2.6,6.0,8.0,42.9,0,0,
202410230WSH,WSH,PHI,Cameron York,2.0,26,19,57.8,10.1,6.0,9.0,40.0,1,0,
202410230WSH,WSH,PHI,Yegor Zamula,2.0,12,21,36.4,-22.0,6.0,5.0,54.5,0,1,
202410230WSH,WSH,PHI,TOTAL,,57,52,52.3,,,,50.9,32,11,
202410230WSH,WSH,PHI,John Carlson,8.0,30,20,60.0,21.7,14.0,9.0,60.9,3,1,
202410230WSH,WSH,PHI,Jakob Chychrun,3.0,13,19,40.6,-10.7,7.0,5.0,58.3,0,1,
202410230WSH,WSH,PHI,Nic Dowd,3.0,11,11,50.0,2.3,2.0,11.0,15.4,1,0,
202410230WSH,WSH,PHI,Pierre-Luc Dubois,5.0,16,12,57.1,12.0,9.0,2.0,81.8,1,1,
202410230WSH,WSH,PHI,Brandon Duhaime,2.0,13,19,40.6,-10.7,2.0,10.0,16.7,1,0,
202410230WSH,WSH,PHI,Martin FehÃ©rvÃ¡ry,1.0,15,19,44.1,-5.9,3.0,12.0,20.0,2,1,
202410230WSH,WSH,PHI,Hendrix Lapierre,2.0,12,13,48.0,-0.2,5.0,2.0,71.4,1,1,
202410230WSH,WSH,PHI,Andrew Mangiapane,2.0,12,12,50.0,2.3,6.0,2.0,75.0,0,2,
202410230WSH,WSH,PHI,Dylan McIlrath,0.0,5,15,25.0,-28.3,1.0,4.0,20.0,3,0,
202410230WSH,WSH,PHI,Connor McMichael,3.0,10,17,37.0,-14.8,4.0,3.0,57.1,0,0,
202410230WSH,WSH,PHI,Alex Ovechkin,7.0,22,10,68.8,29.1,8.0,4.0,66.7,2,0,
202410230WSH,WSH,PHI,Aliaksei Protas,2.0,12,12,50.0,2.3,3.0,1.0,75.0,0,0,
202410230WSH,WSH,PHI,Taylor Raddysh,3.0,14,12,53.8,7.4,2.0,8.0,20.0,0,0,
202410230WSH,WSH,PHI,Rasmus Sandin,6.0,21,20,51.2,4.8,5.0,3.0,62.5,0,5,
202410230WSH,WSH,PHI,Dylan Strome,1.0,21,13,61.8,19.7,8.0,4.0,66.7,0,3,
202410230WSH,WSH,PHI,Trevor van Riemsdyk,3.0,12,20,37.5,-15.1,5.0,7.0,41.7,0,3,
202410230WSH,WSH,PHI,Jakub VrÃ¡na,2.0,11,15,42.3,-7.7,5.0,3.0,62.5,1,1,
202410230WSH,WSH,PHI,Tom Wilson,0.0,15,17,46.9,-1.8,10.0,4.0,71.4,1,1,
202410230WSH,WSH,PHI,TOTAL,,53,55,49.1,,,,51.1,16,20,
202410240BOS,BOS,DAL,Oskar Back,2.0,8,13,38.1,-13.5,4.0,1.0,80.0,4,0,
202410240BOS,BOS,DAL,Jamie Benn,0.0,13,15,46.4,-3.6,10.0,2.0,83.3,1,1,
202410240BOS,BOS,DAL,Colin Blackwell,0.0,8,13,38.1,-13.5,3.0,3.0,50.0,1,0,
202410240BOS,BOS,DAL,Evgenii Dadonov,3.0,11,11,50.0,1.1,3.0,2.0,60.0,1,0,
202410240BOS,BOS,DAL,Matt Duchene,2.0,13,12,52.0,3.7,7.0,5.0,58.3,1,0,
202410240BOS,BOS,DAL,Mathew Dumba,1.0,9,17,34.6,-18.9,6.0,9.0,40.0,2,0,
202410240BOS,BOS,DAL,Thomas Harley,6.0,24,21,53.3,7.0,9.0,6.0,60.0,1,2,
202410240BOS,BOS,DAL,Miro Heiskanen,2.0,18,20,47.4,-2.6,10.0,10.0,50.0,0,0,
202410240BOS,BOS,DAL,Roope Hintz,6.0,24,16,60.0,16.9,8.0,8.0,50.0,0,1,
202410240BOS,BOS,DAL,Wyatt Johnston,6.0,16,16,50.0,1.2,11.0,3.0,78.6,0,1,
202410240BOS,BOS,DAL,Esa Lindell,5.0,19,23,45.2,-6.2,4.0,7.0,36.4,1,1,
202410240BOS,BOS,DAL,Nils Lundkvist,5.0,15,13,53.6,6.0,5.0,1.0,83.3,1,0,
202410240BOS,BOS,DAL,Ilya Lyubushkin,3.0,17,20,45.9,-4.8,6.0,3.0,66.7,0,1,
202410240BOS,BOS,DAL,Mason Marchment,2.0,14,11,56.0,8.9,7.0,4.0,63.6,4,0,
202410240BOS,BOS,DAL,Jason Robertson,4.0,23,16,59.0,15.2,8.0,6.0,57.1,1,1,
202410240BOS,BOS,DAL,Tyler Seguin,2.0,14,16,46.7,-3.3,7.0,7.0,50.0,0,1,
202410240BOS,BOS,DAL,Logan Stankoven,4.0,15,10,60.0,14.0,2.0,5.0,28.6,0,0,
