Game ID,Home Team,Away Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Scoring,Scoring,Scoring,Unnamed: 5_level_0,Unnamed: 6_level_0,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Player ID
,,,Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,
202410230WSH,WSH,PHI,1.0,Noah Cates,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,18.0,13:39,catesno01
202410230WSH,WSH,PHI,2.0,Sean Couturier,0,0,0,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,22.0,15:56,coutuse01
202410230WSH,WSH,PHI,3.0,Nicolas Deslauriers,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,10.0,6:52,deslani01
202410230WSH,WSH,PHI,4.0,Jamie Drysdale,0,2,2,-1.0,0,0,0,0,0.0,0.0,2.0,0.0,0,,25.0,22:23,drysdja01
202410230WSH,WSH,PHI,5.0,Joel Farabee,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,13.0,8:58,farabjo01
202410230WSH,WSH,PHI,6.0,Tyson Foerster,0,1,1,0.0,2,0,0,0,0.0,1.0,0.0,0.0,1,0.0,17.0,13:51,foersty01
202410230WSH,WSH,PHI,7.0,Morgan Frost,0,0,0,-4.0,2,0,0,0,0.0,0.0,0.0,0.0,7,0.0,18.0,19:25,frostmo01
202410230WSH,WSH,PHI,8.0,Garnet Hathaway,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,18.0,11:48,hathaga01
202410230WSH,WSH,PHI,9.0,Travis Konecny,1,0,1,-4.0,2,0,1,0,0.0,0.0,0.0,0.0,5,20.0,23.0,21:26,konectr01
202410230WSH,WSH,PHI,10.0,Scott Laughton,0,0,0,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,23.0,18:19,laughsc01
202410230WSH,WSH,PHI,11.0,Matvei Michkov,1,1,2,-3.0,2,0,1,0,0.0,0.0,1.0,0.0,3,33.3,23.0,21:03,michkma01
202410230WSH,WSH,PHI,12.0,Ryan Poehling,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,17.0,11:21,poehlry01
202410230WSH,WSH,PHI,13.0,Rasmus Ristolainen,0,0,0,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,22.0,14:34,ristora01
202410230WSH,WSH,PHI,14.0,Travis Sanheim,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,29.0,23:00,sanhetr01
202410230WSH,WSH,PHI,15.0,Nick Seeler,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,20.0,12:36,seeleni01
202410230WSH,WSH,PHI,16.0,Owen Tippett,1,1,2,-2.0,0,1,0,0,0.0,0.0,1.0,0.0,1,100.0,19.0,17:18,tippeow01
202410230WSH,WSH,PHI,17.0,Cameron York,0,0,0,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,29.0,22:05,yorkca01
202410230WSH,WSH,PHI,18.0,Yegor Zamula,0,1,1,-2.0,0,0,0,0,0.0,1.0,0.0,0.0,1,0.0,27.0,19:02,zamulye01
202410230WSH,WSH,PHI,19.0,Ivan Fedotov,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,8.0,58:24,fedotiv01
202410230WSH,WSH,PHI,,TOTAL,3,6,9,,8,1,2,0,,,,,29,10.3,,,
202410230WSH,WSH,PHI,1.0,John Carlson,0,0,0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,26.0,26:34,carlsjo01
202410230WSH,WSH,PHI,2.0,Jakob Chychrun,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,21.0,19:38,chychja01
202410230WSH,WSH,PHI,3.0,Nic Dowd,1,0,1,2.0,2,1,0,0,0.0,0.0,0.0,0.0,2,50.0,23.0,14:17,dowdni01
202410230WSH,WSH,PHI,4.0,Pierre-Luc Dubois,1,2,3,3.0,4,1,0,0,0.0,2.0,0.0,0.0,4,25.0,25.0,18:12,duboipi01
202410230WSH,WSH,PHI,5.0,Brandon Duhaime,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,22.0,14:52,duhaibr01
202410230WSH,WSH,PHI,6.0,Martin FehÃ©rvÃ¡ry,0,0,0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,19.0,19:52,feherma01
202410230WSH,WSH,PHI,7.0,Hendrix Lapierre,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,13.0,11:40,lapiehe01
202410230WSH,WSH,PHI,8.0,Andrew Mangiapane,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,18.0,12:37,mangian01
202410230WSH,WSH,PHI,9.0,Dylan McIlrath,0,2,2,2.0,2,0,0,0,0.0,2.0,0.0,0.0,0,,14.0,12:44,mcilrdy01
202410230WSH,WSH,PHI,10.0,Connor McMichael,2,0,2,3.0,0,2,0,0,1.0,0.0,0.0,0.0,2,100.0,27.0,16:15,mcmicco01
202410230WSH,WSH,PHI,11.0,Alex Ovechkin,1,0,1,1.0,0,1,0,0,0.0,0.0,0.0,0.0,3,33.3,18.0,17:24,ovechal01
202410230WSH,WSH,PHI,12.0,Aliaksei Protas,0,1,1,2.0,0,0,0,0,0.0,1.0,0.0,0.0,1,0.0,19.0,12:59,protaal01
202410230WSH,WSH,PHI,13.0,Taylor Raddysh,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,0.0,2,50.0,18.0,12:18,raddyta01
202410230WSH,WSH,PHI,14.0,Rasmus Sandin,0,2,2,4.0,0,0,0,0,0.0,2.0,0.0,0.0,2,0.0,21.0,17:38,sandira01
202410230WSH,WSH,PHI,15.0,Dylan Strome,0,1,1,1.0,0,0,0,0,0.0,1.0,0.0,0.0,0,,19.0,16:53,stromdy01
202410230WSH,WSH,PHI,16.0,Trevor van Riemsdyk,0,1,1,0.0,0,0,0,0,0.0,1.0,0.0,0.0,1,0.0,22.0,17:49,vanritr01
202410230WSH,WSH,PHI,17.0,Jakub VrÃ¡na,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,12.0,10:36,vranaja01
202410230WSH,WSH,PHI,18.0,Tom Wilson,0,0,0,4.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,26.0,20:07,wilsoto01
202410230WSH,WSH,PHI,19.0,Logan Thompson,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,3.0,60:00,thomplo01
202410230WSH,WSH,PHI,,TOTAL,6,9,15,,10,6,0,0,,,,,25,24.0,,,
202410240BOS,BOS,DAL,1.0,Oskar Back,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,18.0,10:24,backos01
202410240BOS,BOS,DAL,2.0,Jamie Benn,0,1,1,0.0,4,0,0,0,0.0,0.0,1.0,0.0,0,,23.0,15:02,bennja01
202410240BOS,BOS,DAL,3.0,Colin Blackwell,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,18.0,10:55,blackco01
202410240BOS,BOS,DAL,4.0,Evgenii Dadonov,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,17.0,13:12,dadonev01
202410240BOS,BOS,DAL,5.0,Matt Duchene,1,2,3,1.0,0,1,0,0,0.0,0.0,2.0,0.0,2,50.0,21.0,15:21,duchema01
