PlayerID,Stat,Line,2024-25,L5,L10,L20,L30,2023-24,All
acciano01,G,0.5,1/10,1/5,1/10,2/20,2/30,4/55,16/142
acciano01,A,0.5,2/10,0/5,2/10,3/20,4/30,3/55,12/142
acciano01,A,1.5,0/10,0/5,0/10,0/20,0/30,0/55,2/142
acciano01,PTS,0.5,3/10,1/5,3/10,5/20,6/30,7/55,28/142
acciano01,PTS,1.5,0/10,0/5,0/10,0/20,0/30,0/55,5/142
acciano01,PTS,2.5,0/10,0/5,0/10,0/20,0/30,0/55,0/142
acciano01,SOG,1.5,4/10,3/5,4/10,5/20,7/30,16/55,46/142
acciano01,SOG,2.5,0/10,0/5,0/10,0/20,0/30,4/55,18/142
acciano01,SOG,3.5,0/10,0/5,0/10,0/20,0/30,3/55,9/142
acciano01,SOG,4.5,0/10,0/5,0/10,0/20,0/30,0/55,3/142
acciano01,SOG,5.5,0/10,0/5,0/10,0/20,0/30,0/55,1/142
acciano01,BLK,0.5,7/10,4/5,7/10,14/20,22/30,45/55,100/142
acciano01,BLK,1.5,3/10,3/5,3/10,6/20,14/30,26/55,52/142
acciano01,BLK,2.5,2/10,2/5,2/10,3/20,4/30,9/55,18/142
acciano01,BLK,3.5,1/10,1/5,1/10,2/20,3/30,3/55,7/142
acciano01,BLK,4.5,1/10,1/5,1/10,2/20,3/30,2/55,3/142
acciano01,HIT,0.5,10/10,5/5,10/10,20/20,30/30,50/55,134/142
acciano01,HIT,1.5,9/10,5/5,9/10,17/20,22/30,36/55,105/142
acciano01,HIT,2.5,6/10,3/5,6/10,10/20,13/30,20/55,70/142
acciano01,HIT,3.5,4/10,3/5,4/10,5/20,6/30,12/55,46/142
acciano01,HIT,4.5,1/10,1/5,1/10,1/20,2/30,2/55,21/142
acciano01,HIT,5.5,0/10,0/5,0/10,0/20,1/30,2/55,12/142
ahose01,G,0.5,3/8,2/5,4/10,10/20,14/30,31/78,62/161
ahose01,A,0.5,4/8,3/5,5/10,8/20,14/30,35/78,61/161
ahose01,A,1.5,1/8,1/5,1/10,2/20,4/30,12/78,20/161
ahose01,PTS,0.5,6/8,4/5,8/10,15/20,22/30,53/78,100/161
ahose01,PTS,1.5,2/8,2/5,2/10,5/20,9/30,23/78,43/161
ahose01,PTS,2.5,0/8,0/5,0/10,2/20,5/30,11/78,18/161
ahose01,SOG,1.5,8/8,5/5,10/10,17/20,23/30,58/78,128/161
ahose01,SOG,2.5,5/8,4/5,6/10,13/20,18/30,45/78,92/161
ahose01,SOG,3.5,1/8,1/5,1/10,3/20,6/30,21/78,45/161
ahose01,SOG,4.5,1/8,1/5,1/10,2/20,4/30,12/78,23/161
ahose01,SOG,5.5,1/8,1/5,1/10,1/20,1/30,6/78,12/161
ahose01,BLK,0.5,5/8,2/5,6/10,10/20,12/30,17/78,38/161
ahose01,BLK,1.5,0/8,0/5,0/10,0/20,0/30,1/78,6/161
ahose01,BLK,2.5,0/8,0/5,0/10,0/20,0/30,0/78,0/161
ahose01,BLK,3.5,0/8,0/5,0/10,0/20,0/30,0/78,0/161
ahose01,BLK,4.5,0/8,0/5,0/10,0/20,0/30,0/78,0/161
ahose01,HIT,0.5,3/8,2/5,4/10,8/20,12/30,29/78,67/161
ahose01,HIT,1.5,2/8,1/5,2/10,4/20,6/30,10/78,26/161
ahose01,HIT,2.5,0/8,0/5,0/10,2/20,3/30,7/78,15/161
ahose01,HIT,3.5,0/8,0/5,0/10,0/20,0/30,1/78,3/161
ahose01,HIT,4.5,0/8,0/5,0/10,0/20,0/30,1/78,1/161
ahose01,HIT,5.5,0/8,0/5,0/10,0/20,0/30,0/78,0/161
allanno01,G,0.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,A,0.5,2/7,2/5,2/7,2/7,2/7,0/0,2/7
allanno01,A,1.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,PTS,0.5,2/7,2/5,2/7,2/7,2/7,0/0,2/7
allanno01,PTS,1.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,PTS,2.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,SOG,1.5,1/7,1/5,1/7,1/7,1/7,0/0,1/7
allanno01,SOG,2.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,SOG,3.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,SOG,4.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,SOG,5.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,BLK,0.5,3/7,3/5,3/7,3/7,3/7,0/0,3/7
allanno01,BLK,1.5,2/7,2/5,2/7,2/7,2/7,0/0,2/7
allanno01,BLK,2.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,BLK,3.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,BLK,4.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,HIT,0.5,3/7,2/5,3/7,3/7,3/7,0/0,3/7
allanno01,HIT,1.5,1/7,0/5,1/7,1/7,1/7,0/0,1/7
allanno01,HIT,2.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,HIT,3.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,HIT,4.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
allanno01,HIT,5.5,0/7,0/5,0/7,0/7,0/7,0/0,0/7
amadimi01,G,0.5,0/8,0/5,1/10,2/20,4/30,14/73,29/148
amadimi01,A,0.5,0/8,0/5,0/10,0/20,2/30,11/73,21/148
amadimi01,A,1.5,0/8,0/5,0/10,0/20,0/30,2/73,3/148
amadimi01,PTS,0.5,0/8,0/5,1/10,2/20,6/30,24/73,46/148
amadimi01,PTS,1.5,0/8,0/5,0/10,0/20,0/30,3/73,6/148
amadimi01,PTS,2.5,0/8,0/5,0/10,0/20,0/30,0/73,2/148
amadimi01,SOG,1.5,5/8,3/5,7/10,10/20,14/30,30/73,64/148
amadimi01,SOG,2.5,2/8,1/5,4/10,6/20,8/30,15/73,30/148
amadimi01,SOG,3.5,0/8,0/5,0/10,1/20,2/30,5/73,11/148
amadimi01,SOG,4.5,0/8,0/5,0/10,0/20,1/30,4/73,6/148
amadimi01,SOG,5.5,0/8,0/5,0/10,0/20,1/30,1/73,1/148
amadimi01,BLK,0.5,3/8,3/5,4/10,6/20,10/30,25/73,46/148
amadimi01,BLK,1.5,1/8,1/5,1/10,1/20,3/30,8/73,14/148
amadimi01,BLK,2.5,0/8,0/5,0/10,0/20,0/30,1/73,4/148
